title,authors,journal,pmid,page,url
Connecting remote populations to public health: the case for a digital immunisation information system in Nunavut.,"Wilson LA, Pakes B, Murphy MSQ, Atkinson KM, Bell C, Wilson K.","{'name': 'Int J Circumpolar Health', 'year': 2017, 'citation': 'Int J Circumpolar Health. 2017;76(1):1358566. doi: 10.1080/22423982.2017.1358566.'}",28782441,9,https://pubmed.ncbi.nlm.nih.gov/28782441/
The recording of fatal work-related injuries in information systems in Brazil.,"Batista AG, Santana VS, Ferrite S.","{'name': 'Cien Saude Colet', 'year': 2019, 'citation': 'Cien Saude Colet. 2019 Mar;24(3):693-704. doi: 10.1590/1413-81232018243.35132016.'}",30892492,9,https://pubmed.ncbi.nlm.nih.gov/30892492/
Hospital information systems and the development of a national health information system.,Austin CJ.,"{'name': 'J Med Syst', 'year': 1982, 'citation': 'J Med Syst. 1982 Feb;6(1):3-11. doi: 10.1007/BF00994116.'}",7069311,9,https://pubmed.ncbi.nlm.nih.gov/7069311/
"Quality of records on sexual violence against women in the Information System for Notifiable Diseases (Sinan) in Santa Catarina, Brazil, 2008-2013.","Delziovo CR, Bolsoni CC, Lindner SR, Coelho EBS.","{'name': 'Epidemiol Serv Saude', 'year': 2018, 'citation': 'Epidemiol Serv Saude. 2018 Feb 1;27(1):e20171493. doi: 10.5123/S1679-49742018000100003.'}",29412348,9,https://pubmed.ncbi.nlm.nih.gov/29412348/
Environmental uses of the NIH-EPA chemical information system.,"Milne GW, Fisk CL, Heller SR, Potenzone R Jr.","{'name': 'Science', 'year': 1982, 'citation': 'Science. 1982 Jan 22;215(4531):371-5. doi: 10.1126/science.7058322.'}",7058322,9,https://pubmed.ncbi.nlm.nih.gov/7058322/
The importance of the NJ Immunization Information System in improving public health and streamlining patient information.,O'Dowd ME.,"{'name': 'MD Advis', 'year': 2011, 'citation': 'MD Advis. 2011 Fall;4(4):17.'}",22008830,10,https://pubmed.ncbi.nlm.nih.gov/22008830/
"Completeness and reliability of the National Mortality Information System for perinatal deaths in Brazil, 2011-2012: a descriptive study.","Rodrigues PL, Gama SGND, Mattos IE.","{'name': 'Epidemiol Serv Saude', 'year': 2019, 'citation': 'Epidemiol Serv Saude. 2019 Mar 21;28(1):e2018093. doi: 10.5123/S1679-49742019000100007.'}",30916240,10,https://pubmed.ncbi.nlm.nih.gov/30916240/
A computerized anesthesia-operating room information system.,Kane FR.,"{'name': 'J Clin Eng', 'year': 1984, 'citation': 'J Clin Eng. 1984 Jul-Sep;9(3):221-5. doi: 10.1097/00004669-198407000-00004.'}",10278280,10,https://pubmed.ncbi.nlm.nih.gov/10278280/
Working towards a national health information system in Australia.,"Bomba B, Cooper J, Miller M.","{'name': 'Medinfo', 'year': 1995, 'citation': 'Medinfo. 1995;8 Pt 2:1633.'}",8591519,10,https://pubmed.ncbi.nlm.nih.gov/8591519/
Utilizing findings from the APACHE III research to develop operational information system for the ICU--the APACHE III ICU Management System.,"Knaus WA, Draper EA, Wagner DP.","{'name': 'Proc Annu Symp Comput Appl Med Care', 'year': 1991, 'citation': 'Proc Annu Symp Comput Appl Med Care. 1991:987-9.'}",1807779,10,https://pubmed.ncbi.nlm.nih.gov/1807779/
[Development of Implantable Medical Device Traceability Management Information System].,"Mei X, Lu Y.","{'name': 'Zhongguo Yi Liao Qi Xie Za Zhi', 'year': 2016, 'citation': 'Zhongguo Yi Liao Qi Xie Za Zhi. 2016 Sep;40(5):359-62.'}",29792633,10,https://pubmed.ncbi.nlm.nih.gov/29792633/
Healthcare Information Framework.,"Saranummi N, Demeester M, Fernandez Perez de Talens A, Harrington J, Heimly V, de la Riva Grandal JM, Taylor J.","{'name': 'Int J Biomed Comput', 'year': 1995, 'citation': 'Int J Biomed Comput. 1995 Apr;39(1):99-104. doi: 10.1016/0020-7101(94)01086-g.'}",7601549,10,https://pubmed.ncbi.nlm.nih.gov/7601549/
Buying information systems.,Robinson DE.,"{'name': 'J Inf Image Manage', 'year': 1983, 'citation': 'J Inf Image Manage. 1983 Jul;16(7):40-6.'}",10263970,10,https://pubmed.ncbi.nlm.nih.gov/10263970/
A magnetic tape database for a real-time medical information system.,"Bowden KF, MacCullum IR, Patience SP.","{'name': 'Comput Biol Med', 'year': 1975, 'citation': 'Comput Biol Med. 1975 Sep;5(3):171-8. doi: 10.1016/0010-4825(75)90003-7.'}",1175364,10,https://pubmed.ncbi.nlm.nih.gov/1175364/
Integrated health information systems based on the RAI/MDS series of instruments.,"Hirdes JP, Fries BE, Morris JN, Steel K, Mor V, Frijters D, LaBine S, Schalm C, Stones MJ, Teare G, Smith T, Marhaba M, Pérez E, Jónsson P.","{'name': 'Healthc Manage Forum', 'year': 1999, 'citation': 'Healthc Manage Forum. 1999 Winter;12(4):30-40. doi: 10.1016/S0840-4704(10)60164-0.'}",10788069,10,https://pubmed.ncbi.nlm.nih.gov/10788069/
Embedded structures and representation of nursing knowledge.,"Harris MR, Graves JR, Solbrig HR, Elkin PL, Chute CG.","{'name': 'J Am Med Inform Assoc', 'year': 2000, 'citation': 'J Am Med Inform Assoc. 2000 Nov-Dec;7(6):539-49. doi: 10.1136/jamia.2000.0070539.'}",11062227,11,https://pubmed.ncbi.nlm.nih.gov/11062227/
A secure and robust password-based remote user authentication scheme using smart cards for the integrated EPR information system.,Das AK.,"{'name': 'J Med Syst', 'year': 2015, 'citation': 'J Med Syst. 2015 Mar;39(3):25. doi: 10.1007/s10916-015-0204-8. Epub 2015 Feb 10.'}",25666924,11,https://pubmed.ncbi.nlm.nih.gov/25666924/
Health information system reform in South Africa: developing an essential data set.,Shaw V.,"{'name': 'Bull World Health Organ', 'year': 2005, 'citation': 'Bull World Health Organ. 2005 Aug;83(8):632-6. Epub 2005 Sep 22.'}",16184283,11,https://pubmed.ncbi.nlm.nih.gov/16184283/
Implementation of a clinical information system in nurse-managed care.,"Marek KD, Jenkins M, Westra BL, McGinley A.","{'name': 'Can J Nurs Res', 'year': 1998, 'citation': 'Can J Nurs Res. 1998 Spring;30(1):37-44.'}",9726181,11,https://pubmed.ncbi.nlm.nih.gov/9726181/
National healthcare information system in Croatian primary care: the foundation for improvement of quality and efficiency in patient care.,"Gvozdanović D, Koncar M, Kojundzić V, Jezidzić H.","{'name': 'Inform Prim Care', 'year': 2007, 'citation': 'Inform Prim Care. 2007;15(3):181-5.'}",18005567,11,https://pubmed.ncbi.nlm.nih.gov/18005567/
Basic plan and assessment of an information system designed to aid patient transfer.,"Yamamoto M, Sano M.","{'name': 'Med Inform (Lond)', 'year': 1987, 'citation': 'Med Inform (Lond). 1987 Oct-Dec;12(4):281-304. doi: 10.3109/14639238709010066.'}",3441155,11,https://pubmed.ncbi.nlm.nih.gov/3441155/
Managing change: an overview.,"Lorenzi NM, Riley RT.","{'name': 'J Am Med Inform Assoc', 'year': 2000, 'citation': 'J Am Med Inform Assoc. 2000 Mar-Apr;7(2):116-24. doi: 10.1136/jamia.2000.0070116.'}",10730594,11,https://pubmed.ncbi.nlm.nih.gov/10730594/
Information systems approach to integrated responses in the respiratory control system.,Yamamoto WS.,"{'name': 'Ann Biomed Eng', 'year': 1983, 'citation': 'Ann Biomed Eng. 1983;11(3-4):349-60. doi: 10.1007/BF02363292.'}",6670790,11,https://pubmed.ncbi.nlm.nih.gov/6670790/
[Commentary: is a population-based information system useful for primary care?].,Tamborero Cao G.,"{'name': 'Aten Primaria', 'year': 2008, 'citation': 'Aten Primaria. 2008 Apr;40(4):174-5. doi: 10.1157/13118059.'}",18405581,11,https://pubmed.ncbi.nlm.nih.gov/18405581/
Sao Paulo city health information system--a case report.,"Costa CG, Leão BF, Moura LA Jr.","{'name': 'Stud Health Technol Inform', 'year': 2007, 'citation': 'Stud Health Technol Inform. 2007;129(Pt 1):377-81.'}",17911743,11,https://pubmed.ncbi.nlm.nih.gov/17911743/
The acquisition of a laboratory information system.,"Scalfani JJ, Ramkissoon RA.","{'name': 'J Med Syst', 'year': 1981, 'citation': 'J Med Syst. 1981;5(4):281-303. doi: 10.1007/BF02222146.'}",7320664,12,https://pubmed.ncbi.nlm.nih.gov/7320664/
Evaluation methodology for ambulatory care information systems.,"Simborg DW, Whiting-O'Keefe QE.","{'name': 'Med Care', 'year': 1982, 'citation': 'Med Care. 1982 Mar;20(3):255-65. doi: 10.1097/00005650-198203000-00002.'}",7078284,12,https://pubmed.ncbi.nlm.nih.gov/7078284/
Rough set approach to incomplete multiscale information system.,"Yang X, Qi Y, Yu D, Yu H, Song X, Yang J.","{'name': 'ScientificWorldJournal', 'year': 2014, 'citation': 'ScientificWorldJournal. 2014;2014:538968. doi: 10.1155/2014/538968. Epub 2014 Aug 17.'}",25276852,12,https://pubmed.ncbi.nlm.nih.gov/25276852/
Health care information systems - the outcomes of the integrated use of health information.,"Mäenpää T, Asikainen P, Rostila I, Suominen T.","{'name': 'Stud Health Technol Inform', 'year': 2009, 'citation': 'Stud Health Technol Inform. 2009;146:749-50.'}",19592960,12,https://pubmed.ncbi.nlm.nih.gov/19592960/
Patterns of usage for a Web-based clinical information system.,"Chen ES, Cimino JJ.","{'name': 'Stud Health Technol Inform', 'year': 2004, 'citation': 'Stud Health Technol Inform. 2004;107(Pt 1):18-22.'}",15360766,12,https://pubmed.ncbi.nlm.nih.gov/15360766/
[The validation of the process and the results of an information system in primary care].,"Bolíbar Ribas B, Juncosa Font S.","{'name': 'Rev Sanid Hig Publica (Madr)', 'year': 1992, 'citation': 'Rev Sanid Hig Publica (Madr). 1992 May-Aug;66(3-4):203-15.'}",1366216,12,https://pubmed.ncbi.nlm.nih.gov/1366216/
Automated discovery of patient-specific clinician information needs using clinical information system log files.,"Chen ES, Cimino JJ.","{'name': 'AMIA Annu Symp Proc', 'year': 2003, 'citation': 'AMIA Annu Symp Proc. 2003;2003:145-9.'}",14728151,12,https://pubmed.ncbi.nlm.nih.gov/14728151/
The ISO/IEC 9126-1 as a Supporting Means for the System Development Process of a Patient Information Web Service.,"Hörbst A, Fink K, Goebel G.","{'name': 'Stud Health Technol Inform', 'year': 2005, 'citation': 'Stud Health Technol Inform. 2005;116:967-70.'}",16160383,12,https://pubmed.ncbi.nlm.nih.gov/16160383/
Scientific competency questions as the basis for semantically enriched open pharmacological space development.,"Azzaoui K, Jacoby E, Senger S, Rodríguez EC, Loza M, Zdrazil B, Pinto M, Williams AJ, de la Torre V, Mestres J, Pastor M, Taboureau O, Rarey M, Chichester C, Pettifer S, Blomberg N, Harland L, Williams-Jones B, Ecker GF.","{'name': 'Drug Discov Today', 'year': 2013, 'citation': 'Drug Discov Today. 2013 Sep;18(17-18):843-52. doi: 10.1016/j.drudis.2013.05.008. Epub 2013 May 20.'}",23702085,12,https://pubmed.ncbi.nlm.nih.gov/23702085/
A noxious agents information system with state-wide participation of the public health service.,"Fehr R, Kobusch AB, Kohn-Schulze E.","{'name': 'Methods Inf Med', 'year': 1994, 'citation': 'Methods Inf Med. 1994 May;33(2):237-42.'}",8057953,12,https://pubmed.ncbi.nlm.nih.gov/8057953/
Understanding managerial behaviour during initial steps of a clinical information system adoption.,"Rodríguez C, Pozzebon M.","{'name': 'BMC Med Inform Decis Mak', 'year': 2011, 'citation': 'BMC Med Inform Decis Mak. 2011 Jun 17;11:42. doi: 10.1186/1472-6947-11-42.'}",21682885,13,https://pubmed.ncbi.nlm.nih.gov/21682885/
Standing on the promises: first wave validation reports of the Patient-Reported Outcome Measurement Information System.,Boers M.,"{'name': 'J Clin Epidemiol', 'year': 2010, 'citation': 'J Clin Epidemiol. 2010 Nov;63(11):1167-8. doi: 10.1016/j.jclinepi.2010.06.007. Epub 2010 Aug 16.'}",20719471,13,https://pubmed.ncbi.nlm.nih.gov/20719471/
Customization of medical report data.,Reiner BI.,"{'name': 'J Digit Imaging', 'year': 2010, 'citation': 'J Digit Imaging. 2010 Aug;23(4):363-73. doi: 10.1007/s10278-010-9307-4.'}",20567993,13,https://pubmed.ncbi.nlm.nih.gov/20567993/
[Applying the Diffusion of Innovation Theory to Improve the Prevalence of Use of a Disease Management Information System].,"Hu CW, Chen LF, Lin HC, Hsish HC, Teng CH.","{'name': 'Hu Li Za Zhi', 'year': 2018, 'citation': 'Hu Li Za Zhi. 2018 Aug;65(4):109-116. doi: 10.6224/JN.201808_65(4).14.'}",30066329,13,https://pubmed.ncbi.nlm.nih.gov/30066329/
A framework for the transition from nursing records to a nursing information system.,Turley JP.,"{'name': 'Nurs Outlook', 'year': 1992, 'citation': 'Nurs Outlook. 1992 Jul-Aug;40(4):177-81.'}",1495869,13,https://pubmed.ncbi.nlm.nih.gov/1495869/
EMR management system for patient pulse data.,Lee J.,"{'name': 'J Med Syst', 'year': 2012, 'citation': 'J Med Syst. 2012 Oct;36(5):3255-60. doi: 10.1007/s10916-011-9816-9. Epub 2012 Jan 6.'}",22223158,13,https://pubmed.ncbi.nlm.nih.gov/22223158/
Developing an information system to support the pursuit of decentralization. The perspective of Ceara State in Brazil.,"Ausse J, Omar MA, Mamede S, Mecedo MC, Pinto A, Campos JS.","{'name': 'J Manag Med', 'year': 1995, 'citation': 'J Manag Med. 1995;9(4):35-43. doi: 10.1108/02689239510090088.'}",10144764,13,https://pubmed.ncbi.nlm.nih.gov/10144764/
Use of epidemiologic data in Integrated Risk Information System (IRIS) assessments.,"Persad AS, Cooper GS.","{'name': 'Toxicol Appl Pharmacol', 'year': 2008, 'citation': 'Toxicol Appl Pharmacol. 2008 Nov 15;233(1):137-45. doi: 10.1016/j.taap.2008.01.013. Epub 2008 Jan 31.'}",18329062,13,https://pubmed.ncbi.nlm.nih.gov/18329062/
[Analyzing a nursing information system in terms of Lewin's change theory].,"Lin JS, Lee TT.","{'name': 'Hu Li Za Zhi', 'year': 2005, 'citation': 'Hu Li Za Zhi. 2005 Feb;52(1):50-4.'}",15712059,13,https://pubmed.ncbi.nlm.nih.gov/15712059/
Design and development of a tele-healthcare information system based on web services and HL7 standards.,"Huang EW, Hung RS, Chiou SF, Liu FY, Liou DM.","{'name': 'Adv Exp Med Biol', 'year': 2011, 'citation': 'Adv Exp Med Biol. 2011;696:599-606. doi: 10.1007/978-1-4419-7046-6_61.'}",21431601,13,https://pubmed.ncbi.nlm.nih.gov/21431601/
"Implementing regional information system for social and health care in Finland, Satakunta.","Mikola T, Wanne O, Itälä T, Virtanen A.","{'name': 'Stud Health Technol Inform', 'year': 2002, 'citation': 'Stud Health Technol Inform. 2002;90:723-8.'}",15460787,14,https://pubmed.ncbi.nlm.nih.gov/15460787/
"A user-centered, object-oriented methodology for developing Health Information Systems: a Clinical Information System (CIS) example.","Konstantinidis G, Anastassopoulos GC, Karakos AS, Anagnostou E, Danielides V.","{'name': 'J Med Syst', 'year': 2012, 'citation': 'J Med Syst. 2012 Apr;36(2):437-50. doi: 10.1007/s10916-010-9488-x. Epub 2010 Apr 23.'}",20703707,14,https://pubmed.ncbi.nlm.nih.gov/20703707/
The use of an information system architecture modeling tool in the development of disease management systems.,"Alessi NE, Huang M, Quinlan P.","{'name': 'Stud Health Technol Inform', 'year': 1999, 'citation': 'Stud Health Technol Inform. 1999;62:15-20.'}",10538346,14,https://pubmed.ncbi.nlm.nih.gov/10538346/
Computerized tracking of mammography patients: value of a radiology information system integrated with a personal-computer data base.,"Frank MS, Johnson JA.","{'name': 'AJR Am J Roentgenol', 'year': 1994, 'citation': 'AJR Am J Roentgenol. 1994 Sep;163(3):705-8. doi: 10.2214/ajr.163.3.8079872.'}",8079872,14,https://pubmed.ncbi.nlm.nih.gov/8079872/
"[The Health Information System for Indigenous Peoples in Brazil (SIASI): design, structure, and functioning].","Sousa Mda C, Scatena JH, Santos RV.","{'name': 'Cad Saude Publica', 'year': 2007, 'citation': 'Cad Saude Publica. 2007 Apr;23(4):853-61. doi: 10.1590/s0102-311x2007000400013.'}",17435883,14,https://pubmed.ncbi.nlm.nih.gov/17435883/
Progress of the European Assistive Technology Information Network.,"Gower V, Andrich R.","{'name': 'Stud Health Technol Inform', 'year': 2015, 'citation': 'Stud Health Technol Inform. 2015;217:360-6.'}",26294498,14,https://pubmed.ncbi.nlm.nih.gov/26294498/
From ontology selection and semantic web to an integrated information system for food-borne diseases and food safety.,"Yan X, Peng Y, Meng J, Ruzante J, Fratamico PM, Huang L, Juneja V, Needleman DS.","{'name': 'Adv Exp Med Biol', 'year': 2011, 'citation': 'Adv Exp Med Biol. 2011;696:741-50. doi: 10.1007/978-1-4419-7046-6_76.'}",21431616,14,https://pubmed.ncbi.nlm.nih.gov/21431616/
Routine Health Information Systems in South Africa--Opportunities for Improvement.,"Nicol E, Hanmer LA.","{'name': 'Stud Health Technol Inform', 'year': 2015, 'citation': 'Stud Health Technol Inform. 2015;216:993.'}",26262295,14,https://pubmed.ncbi.nlm.nih.gov/26262295/
The development of a management information system and a preventive maintenance system.,Tanverdi C.,"{'name': 'Hosp Eng', 'year': 1981, 'citation': 'Hosp Eng. 1981 Dec;35(10):15-21.'}",10253797,14,https://pubmed.ncbi.nlm.nih.gov/10253797/
Material management: information system requirements.,Rettig JS.,"{'name': 'Comput Healthc', 'year': 1983, 'citation': 'Comput Healthc. 1983 May;4(5):60.'}",10259889,14,https://pubmed.ncbi.nlm.nih.gov/10259889/
Community nursing information system update.,Bean J.,"{'name': 'Lamp', 'year': 1997, 'citation': 'Lamp. 1997 Jun;54(5):10-1.'}",9335751,15,https://pubmed.ncbi.nlm.nih.gov/9335751/
Hospital wide information system development.,Rose LH.,"{'name': 'Healthc Comput Commun', 'year': 1985, 'citation': 'Healthc Comput Commun. 1985 Apr;2(4):36.'}",10300004,15,https://pubmed.ncbi.nlm.nih.gov/10300004/
A Connectivity Framework for Social Information Systems Design in Healthcare.,"Kuziemsky CE, Andreev P, Benyoucef M, O'Sullivan T, Jamaly S.","{'name': 'AMIA Annu Symp Proc', 'year': 2017, 'citation': 'AMIA Annu Symp Proc. 2017 Feb 10;2016:734-742. eCollection 2016.'}",28269869,15,https://pubmed.ncbi.nlm.nih.gov/28269869/
Integration of Health Information Systems Using HL7: A Case Study.,"Kuo JW, Kuo AM.","{'name': 'Stud Health Technol Inform', 'year': 2017, 'citation': 'Stud Health Technol Inform. 2017;234:188-194.'}",28186039,15,https://pubmed.ncbi.nlm.nih.gov/28186039/
Happy birthday DIOGENE: a hospital information system born 20 years ago.,"Borst F, Appel R, Baud R, Ligier Y, Scherrer JR.","{'name': 'Int J Med Inform', 'year': 1999, 'citation': 'Int J Med Inform. 1999 Jun;54(3):157-67. doi: 10.1016/s1386-5056(99)00004-0.'}",10405876,15,https://pubmed.ncbi.nlm.nih.gov/10405876/
Poisons information in Singapore.,"Chao TC, Tay MK, Bloodworth BC, Lim KH.","{'name': 'Ann Acad Med Singap', 'year': 1993, 'citation': 'Ann Acad Med Singap. 1993 Mar;22(2):237-41.'}",8363340,15,https://pubmed.ncbi.nlm.nih.gov/8363340/
Information system--Part 1. Will computerization solve your problems?,[No authors listed],"{'name': 'Cost Containment', 'year': 1979, 'citation': 'Cost Containment. 1979 Oct 23;1(20):3-6.'}",10244121,15,https://pubmed.ncbi.nlm.nih.gov/10244121/
VIRUS--a laboratory information system for clinical virology.,"Blomberg J, Mattson J, Börjesson B, Hast S, Andersson P, Holm K.","{'name': 'Methods Inf Med', 'year': 1979, 'citation': 'Methods Inf Med. 1979 Oct;18(4):207-14.'}",530087,15,https://pubmed.ncbi.nlm.nih.gov/530087/
Generic data modeling for clinical repositories.,Johnson SB.,"{'name': 'J Am Med Inform Assoc', 'year': 1996, 'citation': 'J Am Med Inform Assoc. 1996 Sep-Oct;3(5):328-39. doi: 10.1136/jamia.1996.97035024.'}",8880680,15,https://pubmed.ncbi.nlm.nih.gov/8880680/
[Standardization of healthcare information system part 1: current state of standardization and the reason for introducing it in the healthcare enterprise].,Hosoba M.,"{'name': 'Nihon Hoshasen Gijutsu Gakkai Zasshi', 'year': 2005, 'citation': 'Nihon Hoshasen Gijutsu Gakkai Zasshi. 2005 Jul 20;61(7):959-64. doi: 10.6009/jjrt.kj00003326896.'}",16049403,15,https://pubmed.ncbi.nlm.nih.gov/16049403/
Radiology as an information system.,Conway JB.,"{'name': 'Radiol Manage', 'year': 1983, 'citation': 'Radiol Manage. 1983 Jun-Jul;5(3):11-5.'}",10262511,16,https://pubmed.ncbi.nlm.nih.gov/10262511/
An information system to support collaborative brain-tumor research.,"Mamrak SA, Yates AJ.","{'name': 'Brain Tumor Pathol', 'year': 1997, 'citation': 'Brain Tumor Pathol. 1997;14(2):131-7. doi: 10.1007/BF02478882.'}",15726792,16,https://pubmed.ncbi.nlm.nih.gov/15726792/
Building strategies for healthcare information systems.,"Mihalas GI, Bazavan M.","{'name': 'Stud Health Technol Inform', 'year': 2002, 'citation': 'Stud Health Technol Inform. 2002;90:718-22.'}",15460786,16,https://pubmed.ncbi.nlm.nih.gov/15460786/
Pakistan's health management information system: health managers' perspectives.,"Qazi MS, Ali M.","{'name': 'J Pak Med Assoc', 'year': 2009, 'citation': 'J Pak Med Assoc. 2009 Jan;59(1):10-4.'}",19213369,16,https://pubmed.ncbi.nlm.nih.gov/19213369/
MobiDis: Toward a Patient Centric Healthcare Information System.,"Ricci FL, Serbanati LD.","{'name': 'Stud Health Technol Inform', 'year': 2005, 'citation': 'Stud Health Technol Inform. 2005;116:557-62.'}",16160316,16,https://pubmed.ncbi.nlm.nih.gov/16160316/
Issues encountered in an attempt to implement a second-generation management information system.,"Adler DA, Edwards CN.","{'name': 'Public Health Rep', 'year': 1981, 'citation': 'Public Health Rep. 1981 Jul-Aug;96(4):369-75.'}",7255661,16,https://pubmed.ncbi.nlm.nih.gov/7255661/
Information system needs of multi-institutional organizations. Interview by O. George Kennedy.,Murphy EW.,"{'name': 'Healthc Comput Commun', 'year': 1984, 'citation': 'Healthc Comput Commun. 1984 Jan-Feb;1(1):24-6.'}",10310756,16,https://pubmed.ncbi.nlm.nih.gov/10310756/
"Development of an instrument to measure health center (HC) personnel's computer use, knowledge and functionality demand for HC computerized information system in Thailand.","Kijsanayotin B, Pannarunothai S, Speedie S.","{'name': 'AMIA Annu Symp Proc', 'year': 2005, 'citation': 'AMIA Annu Symp Proc. 2005;2005:1007.'}",16779294,16,https://pubmed.ncbi.nlm.nih.gov/16779294/
[Scheduling and management of information system implimentation prosess: IT project management based on work breakdown structure].,Miyahara T.,"{'name': 'Nihon Hoshasen Gijutsu Gakkai Zasshi', 'year': 2011, 'citation': 'Nihon Hoshasen Gijutsu Gakkai Zasshi. 2011;67(4):393-9. doi: 10.6009/jjrt.67.393.'}",21532250,16,https://pubmed.ncbi.nlm.nih.gov/21532250/
Unified National Health Information System. Part III. Reporting system for out-patient and in-patient morbidity and in-patient mortality.,"Jaravaza VS, McCoy MC.","{'name': 'Cent Afr J Med', 'year': 1982, 'citation': 'Cent Afr J Med. 1982 Jun;28(6):136-45.'}",7172227,16,https://pubmed.ncbi.nlm.nih.gov/7172227/
Using the long-term care information system for effective community care.,Falcone AR.,"{'name': 'Home Health Care Serv Q', 'year': 1981, 'citation': 'Home Health Care Serv Q. 1981 Spring;2(1):83-97. doi: 10.1300/J027v02n01_06.'}",10309478,17,https://pubmed.ncbi.nlm.nih.gov/10309478/
The design of an information system on thalassemia.,"Rossi-Mori A, Ricci FL, Zambon G.","{'name': 'Med Inform (Lond)', 'year': 1984, 'citation': 'Med Inform (Lond). 1984 Jan-Mar;9(1):15-24. doi: 10.3109/14639238409010934.'}",6717160,17,https://pubmed.ncbi.nlm.nih.gov/6717160/
How to get the most information system for your money: Part I. Start with a plan.,[No authors listed],"{'name': 'Natl Rep Subacute Care', 'year': 1998, 'citation': 'Natl Rep Subacute Care. 1998 Feb 11;6(3):6-8.'}",10177814,17,https://pubmed.ncbi.nlm.nih.gov/10177814/
[The organization of system of information support of regional health care].,Konovalov AA.,"{'name': 'Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med', 'year': 2014, 'citation': 'Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med. 2014 Jul-Aug;(4):33-7.'}",25373297,17,https://pubmed.ncbi.nlm.nih.gov/25373297/
An infocentric view of the hospital information system.,O'Desky RI.,"{'name': 'Healthc Comput Commun', 'year': 1986, 'citation': 'Healthc Comput Commun. 1986 Jan;3(1):44-6.'}",10275013,17,https://pubmed.ncbi.nlm.nih.gov/10275013/
"Progress continues on development of the nurse information system database, electronic licensure verification information system.",[No authors listed],"{'name': 'Issues', 'year': 1997, 'citation': 'Issues. 1997;18(1):6.'}",9281947,17,https://pubmed.ncbi.nlm.nih.gov/9281947/
Primary healthcare information system--development and deployment issues.,"Stevanovic R, Kojundzic V, Galijasevic G.","{'name': 'Stud Health Technol Inform', 'year': 2007, 'citation': 'Stud Health Technol Inform. 2007;127:43-57.'}",17901598,17,https://pubmed.ncbi.nlm.nih.gov/17901598/
Computer application in the clinical laboratory. The information system approach with the system LABMAT.,"Höhne KH, Dahlmann K, Dix WR, Harm K.","{'name': 'Methods Inf Med', 'year': 1974, 'citation': 'Methods Inf Med. 1974 Oct;13(4):226-32.'}",4612296,17,https://pubmed.ncbi.nlm.nih.gov/4612296/
Pharmaceutical information systems and possible implementations of informed consent -- developing an heuristic.,"Ploug T, Holm S.","{'name': 'BMC Med Ethics', 'year': 2012, 'citation': 'BMC Med Ethics. 2012 Nov 16;13:30. doi: 10.1186/1472-6939-13-30.'}",23157854,17,https://pubmed.ncbi.nlm.nih.gov/23157854/
Information technology: 1. Planning and developing a human resources information system.,Lederer AL.,"{'name': 'Personnel', 'year': 1984, 'citation': 'Personnel. 1984 May-Jun;61(3):14-27.'}",10267049,17,https://pubmed.ncbi.nlm.nih.gov/10267049/
"PRISM framework: a paradigm shift for designing, strengthening and evaluating routine health information systems.","Aqil A, Lippeveld T, Hozumi D.","{'name': 'Health Policy Plan', 'year': 2009, 'citation': 'Health Policy Plan. 2009 May;24(3):217-28. doi: 10.1093/heapol/czp010. Epub 2009 Mar 20.'}",19304786,18,https://pubmed.ncbi.nlm.nih.gov/19304786/
Ten years experience with a regional health information system--the Stockholm County health care information system.,Peterson H.,"{'name': 'Aust Health Rev', 'year': 1983, 'citation': 'Aust Health Rev. 1983 Nov;6(4):66-70.'}",10264940,18,https://pubmed.ncbi.nlm.nih.gov/10264940/
The evolution of an information system: from key-man to every person.,Lucas HC Jr.,"{'name': 'Sloan Manage Rev', 'year': 1978, 'citation': 'Sloan Manage Rev. 1978 Winter;19(2):39-52.'}",10307127,18,https://pubmed.ncbi.nlm.nih.gov/10307127/
A quality information system 'wish list'.,Spath P.,"{'name': 'Hosp Peer Rev', 'year': 2005, 'citation': 'Hosp Peer Rev. 2005 Aug;30(8):113-5.'}",16094936,18,https://pubmed.ncbi.nlm.nih.gov/16094936/
[An information system to integrate outpatient cancer care data in the Unified National Health System].,"Souza RC, Freire SM, Almeida RT.","{'name': 'Cad Saude Publica', 'year': 2010, 'citation': 'Cad Saude Publica. 2010 Jun;26(6):1131-40. doi: 10.1590/s0102-311x2010000600007.'}",20657978,18,https://pubmed.ncbi.nlm.nih.gov/20657978/
Interoperability in hospital information systems: a return-on-investment study comparing CPOE with and without laboratory integration.,"Meyer R, Lovis C.","{'name': 'Stud Health Technol Inform', 'year': 2011, 'citation': 'Stud Health Technol Inform. 2011;169:320-4.'}",21893765,18,https://pubmed.ncbi.nlm.nih.gov/21893765/
Cultural Impact on the Intention to Use Nursing Information Systems of Nurses in Taiwan and China: Survey and Analysis.,"Chang IC, Lin PJ, Chen TH, Chang CH.","{'name': 'J Med Internet Res', 'year': 2020, 'citation': 'J Med Internet Res. 2020 Aug 12;22(8):e18078. doi: 10.2196/18078.'}",32784174,18,https://pubmed.ncbi.nlm.nih.gov/32784174/
